Title,Address,Bedrooms,Bathrooms,Rent,Square Footage,Availability,Amenities
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,890 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,900 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,900 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,900 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,905 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,905 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,905 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
Amelia,411 29th St Oakland CA 94609 â€“ Pill Hill,1 Bed,1 Bath,"$2,905 ",502 Sq Ft,Available Now,100% Smoke Free Community Air Conditioning Bicycle Storage BRAND NEW LUXURY LIVING! Controlled Access Courtyard With FirePit Dog Washing Station Elevator Fiber Internet Gourmet Kitchen In Home Full-Size Washer And Dryer Individual Climate Control Minutes To Great Shopping &amp; Dining Motorized Parking Lift Motorized Parking Lifts Noise Reducing Dual Pane Windows Noise-reducing insulated dual-pane windows Package Lockers Pets Allowed Pets Welcome -No Weight Restrictions! Plank Flooring Quartz Countertops Quartz Counter-tops and Tile Backsplash Rooftop Terrace with Barbecues Rooftop Terrace With Downtown Views Secure Bike Parking Stainless Steel Appliances Sweeping Views Of Oakland Hills Sweeping Views Of San Francisco Views of SF and Oakland $300 Deposit $50 Monthly Pet Rent 150 lb Weight Limit 2 Pet Limit Built in 2020 83 Units/4 Stories 9 months 10 months 11 months 12 months 13 months 14 months 15 months 16 months 17 months 18 months 19 months 20 months 21 months 22 months 23 months 24 months Maintenance on site Online Services Pet Care Pet Washing Station Public Transportation Elevator Multi Use Room Roof Terrace Sundeck Courtyard Grill Patio Grill Bike Storage Individual Locking Bedrooms Private Bathroom Study Lounge High Speed Internet Access Wi-Fi Washer/Dryer - In Unit Air Conditioning Heating Cable Ready Tub/Shower Dishwasher Disposal Ice Maker Granite Countertops Stainless Steel Appliances Eat-in Kitchen Kitchen Microwave Oven Range Refrigerator Freezer Hardwood Floors Vinyl Flooring Dining Room Views Linen Closet Double Pane Windows Window Coverings Package Service Property Manager on Site
